rand_string,graph,num_priority,priority_nodes,lower_bound,upper_bound,time_period,num_patterns
0,grid_8_rand_32_0,10,26 41 14 21 35 59 60 42 52 8,5800,5800,9400,2
1,grid_8_rand_32_1,10,26 41 14 21 35 59 60 42 52 8,4800,4800,4800,1
2,grid_8_rand_16_0,10,26 41 14 21 35 59 60 42 52 8,3800,3800,3800,2
3,grid_8_rand_8_2,10,26 41 14 21 35 59 60 42 52 8,3600,3600,3600,2
4,grid_8_rand_16_3,10,26 41 14 21 35 59 60 42 52 8,3400,3400,3400,2
5,grid_8_rand_16_4,10,26 41 14 21 35 59 60 42 52 8,3400,3800,3800,3
6,grid_8_rand_24_0,10,26 41 14 21 35 59 60 42 52 8,3400,3400,3400,1
7,grid_8_rand_24_4,10,26 41 14 21 35 59 60 42 52 8,4200,4200,4200,2
8,grid_8_rand_8_0,10,26 41 14 21 35 59 60 42 52 8,3400,3400,3400,1
9,grid_8_rand_32_2,10,26 41 14 21 35 59 60 42 52 8,4200,4200,4200,1
10,grid_8_rand_8_4,10,26 41 14 21 35 59 60 42 52 8,3400,3400,3400,1
11,grid_8_rand_16_2,10,26 41 14 21 35 59 60 42 52 8,4000,4000,4000,2
12,grid_8_rand_32_4,10,26 41 14 21 35 59 60 42 52 8,4600,4600,4600,1
13,grid_8_rand_24_1,10,26 41 14 21 35 59 60 42 52 8,4000,4000,4000,1
14,grid_8_rand_24_3,10,26 41 14 21 35 59 60 42 52 8,3600,4000,4200,3
15,grid_8_rand_8_3,10,26 41 14 21 35 59 60 42 52 8,3400,3400,3400,1
16,grid_8_rand_16_1,10,26 41 14 21 35 59 60 42 52 8,3600,3600,3600,2
17,grid_8_rand_8_1,10,26 41 14 21 35 59 60 42 52 8,3400,3400,3400,1
18,grid_8_rand_24_2,10,26 41 14 21 35 59 60 42 52 8,3600,4000,5200,3
19,grid_8_rand_32_3,10,26 41 14 21 35 59 60 42 52 8,4000,4000,4000,1
20,grid_8_8,10,26 41 14 21 35 59 60 42 52 8,3400,3400,3400,1
21,grid_8_rand_32_0,11,11 35 23 5 19 53 48 36 2 7 46,5400,5400,5400,1
22,grid_8_rand_32_1,11,11 35 23 5 19 53 48 36 2 7 46,5400,5400,5400,1
23,grid_8_rand_16_0,11,11 35 23 5 19 53 48 36 2 7 46,4200,4400,5600,2
24,grid_8_rand_8_2,11,11 35 23 5 19 53 48 36 2 7 46,3600,3800,3600,2
25,grid_8_rand_16_3,11,11 35 23 5 19 53 48 36 2 7 46,3800,3800,3800,1
26,grid_8_rand_16_4,11,11 35 23 5 19 53 48 36 2 7 46,4000,4400,4200,3
27,grid_8_rand_24_0,11,11 35 23 5 19 53 48 36 2 7 46,4400,4400,4400,2
28,grid_8_rand_24_4,11,11 35 23 5 19 53 48 36 2 7 46,5000,5000,5000,2
29,grid_8_rand_8_0,11,11 35 23 5 19 53 48 36 2 7 46,3400,3600,3400,3
30,grid_8_rand_32_2,11,11 35 23 5 19 53 48 36 2 7 46,5000,5000,5000,2
31,grid_8_rand_8_4,11,11 35 23 5 19 53 48 36 2 7 46,3600,3600,5800,3
32,grid_8_rand_16_2,11,11 35 23 5 19 53 48 36 2 7 46,4400,4600,4600,3
33,grid_8_rand_32_4,11,11 35 23 5 19 53 48 36 2 7 46,5200,5200,5200,2
34,grid_8_rand_24_1,11,11 35 23 5 19 53 48 36 2 7 46,4600,4600,4600,1
35,grid_8_rand_24_3,11,11 35 23 5 19 53 48 36 2 7 46,5000,5000,5000,1
36,grid_8_rand_8_3,11,11 35 23 5 19 53 48 36 2 7 46,3600,3600,4600,3
37,grid_8_rand_16_1,11,11 35 23 5 19 53 48 36 2 7 46,3800,3800,3800,3
38,grid_8_rand_8_1,11,11 35 23 5 19 53 48 36 2 7 46,3400,3600,3400,2
39,grid_8_rand_24_2,11,11 35 23 5 19 53 48 36 2 7 46,4200,4400,4600,3
40,grid_8_rand_32_3,11,11 35 23 5 19 53 48 36 2 7 46,5000,5200,6800,2
41,grid_8_8,11,11 35 23 5 19 53 48 36 2 7 46,3400,3400,4400,3
42,grid_8_rand_32_0,12,55 11 17 23 38 63 5 0 44 30 3 33,6000,6000,6000,2
43,grid_8_rand_32_1,12,55 11 17 23 38 63 5 0 44 30 3 33,5000,5000,5000,2
44,grid_8_rand_16_0,12,55 11 17 23 38 63 5 0 44 30 3 33,4200,4400,6400,3
45,grid_8_rand_8_2,12,55 11 17 23 38 63 5 0 44 30 3 33,4000,4000,4000,2
46,grid_8_rand_16_3,12,55 11 17 23 38 63 5 0 44 30 3 33,3800,3800,3800,2
47,grid_8_rand_16_4,12,55 11 17 23 38 63 5 0 44 30 3 33,4000,4000,4000,2
48,grid_8_rand_24_0,12,55 11 17 23 38 63 5 0 44 30 3 33,4000,4000,4000,1
49,grid_8_rand_24_4,12,55 11 17 23 38 63 5 0 44 30 3 33,4800,4800,4800,2
50,grid_8_rand_8_0,12,55 11 17 23 38 63 5 0 44 30 3 33,3800,3800,3800,1
51,grid_8_rand_32_2,12,55 11 17 23 38 63 5 0 44 30 3 33,5400,5400,5400,2
52,grid_8_rand_8_4,12,55 11 17 23 38 63 5 0 44 30 3 33,3800,3800,3800,1
53,grid_8_rand_16_2,12,55 11 17 23 38 63 5 0 44 30 3 33,4400,4400,4400,1
54,grid_8_rand_32_4,12,55 11 17 23 38 63 5 0 44 30 3 33,5400,5400,5400,2
55,grid_8_rand_24_1,12,55 11 17 23 38 63 5 0 44 30 3 33,4200,4800,7600,3
56,grid_8_rand_24_3,12,55 11 17 23 38 63 5 0 44 30 3 33,5000,5000,5000,2
57,grid_8_rand_8_3,12,55 11 17 23 38 63 5 0 44 30 3 33,4000,4000,4000,2
58,grid_8_rand_16_1,12,55 11 17 23 38 63 5 0 44 30 3 33,4400,4400,6200,2
59,grid_8_rand_8_1,12,55 11 17 23 38 63 5 0 44 30 3 33,4200,4200,4200,2
60,grid_8_rand_24_2,12,55 11 17 23 38 63 5 0 44 30 3 33,4400,4400,4400,1
61,grid_8_rand_32_3,12,55 11 17 23 38 63 5 0 44 30 3 33,4400,4400,4400,1
62,grid_8_8,12,55 11 17 23 38 63 5 0 44 30 3 33,3800,3800,3800,2
63,grid_8_rand_32_0,13,56 27 47 43 38 25 51 0 61 22 57 21 40,5800,5800,5800,1
64,grid_8_rand_32_1,13,56 27 47 43 38 25 51 0 61 22 57 21 40,5000,5000,5000,1
65,grid_8_rand_16_0,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4200,4200,4200,2
66,grid_8_rand_8_2,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4200,4200,4200,3
67,grid_8_rand_16_3,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4200,4200,4200,2
68,grid_8_rand_16_4,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4400,4400,4400,3
69,grid_8_rand_24_0,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4600,4800,4800,4
70,grid_8_rand_24_4,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4600,4600,4600,1
71,grid_8_rand_8_0,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4200,4200,4200,1
72,grid_8_rand_32_2,13,56 27 47 43 38 25 51 0 61 22 57 21 40,5800,5800,5800,1
73,grid_8_rand_8_4,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4200,4200,4200,1
74,grid_8_rand_16_2,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4800,4800,4800,3
75,grid_8_rand_32_4,13,56 27 47 43 38 25 51 0 61 22 57 21 40,5800,5800,5800,2
76,grid_8_rand_24_1,13,56 27 47 43 38 25 51 0 61 22 57 21 40,5200,5200,5200,1
77,grid_8_rand_24_3,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4600,4600,4600,1
78,grid_8_rand_8_3,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4000,4000,4000,2
79,grid_8_rand_16_1,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4600,4600,4600,2
80,grid_8_rand_8_1,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4200,4200,4200,2
81,grid_8_rand_24_2,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4800,4800,4800,3
82,grid_8_rand_32_3,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4800,4800,4800,1
83,grid_8_8,13,56 27 47 43 38 25 51 0 61 22 57 21 40,4000,4000,4000,2
84,grid_8_rand_32_0,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,6200,6200,6200,1
85,grid_8_rand_32_1,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,5600,5600,5600,2
86,grid_8_rand_16_0,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4000,4400,4400,3
87,grid_8_rand_8_2,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4400,4400,4400,1
88,grid_8_rand_16_3,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,3800,4200,4400,3
89,grid_8_rand_16_4,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4000,4200,4600,2
90,grid_8_rand_24_0,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4400,4400,4400,1
91,grid_8_rand_24_4,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4400,4400,4400,1
92,grid_8_rand_8_0,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,3800,4000,4000,3
93,grid_8_rand_32_2,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,5600,6000,6400,3
94,grid_8_rand_8_4,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4000,4000,4400,3
95,grid_8_rand_16_2,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4600,4800,6400,4
96,grid_8_rand_32_4,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,5000,5000,8000,3
97,grid_8_rand_24_1,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,5200,5200,5200,3
98,grid_8_rand_24_3,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4800,4800,4800,3
99,grid_8_rand_8_3,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,3800,4000,4800,3
100,grid_8_rand_16_1,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4400,4400,4400,1
101,grid_8_rand_8_1,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4000,4200,5000,3
102,grid_8_rand_24_2,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,5200,5400,6000,3
103,grid_8_rand_32_3,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,4400,4400,4400,1
104,grid_8_8,14,23 62 45 28 48 56 43 44 49 51 10 29 3 13,3600,3800,4600,3
105,grid_8_rand_32_0,10,12 3 7 60 2 46 51 0 4 40,5600,5600,5600,1
106,grid_8_rand_32_1,10,12 3 7 60 2 46 51 0 4 40,5000,5000,5000,1
107,grid_8_rand_16_0,10,12 3 7 60 2 46 51 0 4 40,4000,4000,4000,2
108,grid_8_rand_8_2,10,12 3 7 60 2 46 51 0 4 40,3600,3600,3600,2
109,grid_8_rand_16_3,10,12 3 7 60 2 46 51 0 4 40,3600,3600,3600,1
110,grid_8_rand_16_4,10,12 3 7 60 2 46 51 0 4 40,4200,4200,4400,2
111,grid_8_rand_24_0,10,12 3 7 60 2 46 51 0 4 40,4400,4400,4400,1
112,grid_8_rand_24_4,10,12 3 7 60 2 46 51 0 4 40,4400,4400,4400,1
113,grid_8_rand_8_0,10,12 3 7 60 2 46 51 0 4 40,3600,3600,3600,1
114,grid_8_rand_32_2,10,12 3 7 60 2 46 51 0 4 40,5400,5400,5400,1
115,grid_8_rand_8_4,10,12 3 7 60 2 46 51 0 4 40,3800,3800,3800,1
116,grid_8_rand_16_2,10,12 3 7 60 2 46 51 0 4 40,4200,4200,4200,1
117,grid_8_rand_32_4,10,12 3 7 60 2 46 51 0 4 40,5200,5200,5200,1
118,grid_8_rand_24_1,10,12 3 7 60 2 46 51 0 4 40,5200,5200,5200,1
119,grid_8_rand_24_3,10,12 3 7 60 2 46 51 0 4 40,4400,4400,4400,1
120,grid_8_rand_8_3,10,12 3 7 60 2 46 51 0 4 40,3400,3400,3400,1
121,grid_8_rand_16_1,10,12 3 7 60 2 46 51 0 4 40,4000,4000,4000,2
122,grid_8_rand_8_1,10,12 3 7 60 2 46 51 0 4 40,3600,3600,3600,2
123,grid_8_rand_24_2,10,12 3 7 60 2 46 51 0 4 40,4200,4200,4200,3
124,grid_8_rand_32_3,10,12 3 7 60 2 46 51 0 4 40,4800,4800,4800,1
125,grid_8_8,10,12 3 7 60 2 46 51 0 4 40,3400,3400,3400,2
126,grid_8_rand_32_0,11,63 19 49 4 23 7 45 17 9 30 26,5600,5600,5600,2
127,grid_8_rand_32_1,11,63 19 49 4 23 7 45 17 9 30 26,5400,5400,5400,2
128,grid_8_rand_16_0,11,63 19 49 4 23 7 45 17 9 30 26,4400,4400,4400,2
129,grid_8_rand_8_2,11,63 19 49 4 23 7 45 17 9 30 26,4000,4000,4000,1
130,grid_8_rand_16_3,11,63 19 49 4 23 7 45 17 9 30 26,4000,4000,5200,2
131,grid_8_rand_16_4,11,63 19 49 4 23 7 45 17 9 30 26,4400,4400,4400,1
132,grid_8_rand_24_0,11,63 19 49 4 23 7 45 17 9 30 26,4600,4600,4800,2
133,grid_8_rand_24_4,11,63 19 49 4 23 7 45 17 9 30 26,4400,4600,6400,3
134,grid_8_rand_8_0,11,63 19 49 4 23 7 45 17 9 30 26,3800,3800,3800,1
135,grid_8_rand_32_2,11,63 19 49 4 23 7 45 17 9 30 26,5000,5000,5000,1
136,grid_8_rand_8_4,11,63 19 49 4 23 7 45 17 9 30 26,3800,3800,3800,2
137,grid_8_rand_16_2,11,63 19 49 4 23 7 45 17 9 30 26,4600,4600,4600,1
138,grid_8_rand_32_4,11,63 19 49 4 23 7 45 17 9 30 26,4800,4800,4800,2
139,grid_8_rand_24_1,11,63 19 49 4 23 7 45 17 9 30 26,4600,4600,4600,1
140,grid_8_rand_24_3,11,63 19 49 4 23 7 45 17 9 30 26,4800,5200,7200,2
141,grid_8_rand_8_3,11,63 19 49 4 23 7 45 17 9 30 26,4000,4000,4000,2
142,grid_8_rand_16_1,11,63 19 49 4 23 7 45 17 9 30 26,4000,4000,4000,3
143,grid_8_rand_8_1,11,63 19 49 4 23 7 45 17 9 30 26,3600,3600,3600,2
144,grid_8_rand_24_2,11,63 19 49 4 23 7 45 17 9 30 26,4600,4600,4600,2
145,grid_8_rand_32_3,11,63 19 49 4 23 7 45 17 9 30 26,4800,4800,5000,3
146,grid_8_8,11,63 19 49 4 23 7 45 17 9 30 26,3600,3600,3800,3
147,grid_8_rand_32_0,12,14 13 36 54 2 1 59 5 62 8 48 17,6000,6000,6000,2
148,grid_8_rand_32_1,12,14 13 36 54 2 1 59 5 62 8 48 17,5600,5600,5600,1
149,grid_8_rand_16_0,12,14 13 36 54 2 1 59 5 62 8 48 17,4800,4800,4800,1
150,grid_8_rand_8_2,12,14 13 36 54 2 1 59 5 62 8 48 17,3800,3800,3800,1
151,grid_8_rand_16_3,12,14 13 36 54 2 1 59 5 62 8 48 17,4200,4200,4200,2
152,grid_8_rand_16_4,12,14 13 36 54 2 1 59 5 62 8 48 17,4000,4000,4000,2
153,grid_8_rand_24_0,12,14 13 36 54 2 1 59 5 62 8 48 17,4600,4600,4600,1
154,grid_8_rand_24_4,12,14 13 36 54 2 1 59 5 62 8 48 17,4600,5000,5800,3
155,grid_8_rand_8_0,12,14 13 36 54 2 1 59 5 62 8 48 17,3800,3800,6400,3
156,grid_8_rand_32_2,12,14 13 36 54 2 1 59 5 62 8 48 17,5200,5200,5200,1
157,grid_8_rand_8_4,12,14 13 36 54 2 1 59 5 62 8 48 17,3600,3800,5600,3
158,grid_8_rand_16_2,12,14 13 36 54 2 1 59 5 62 8 48 17,4800,4800,5200,2
